Date,Underlying,Strike,Maturity,Bid,Ask,Call
2019-04-15,2905.58,2845,2019-04-30,68.60,70.20,69.40
2019-04-15,2905.58,2850,2019-04-30,64.20,65.80,65.00
2019-04-15,2905.58,2855,2019-04-30,59.90,61.40,60.65
2019-04-15,2905.58,2860,2019-04-30,55.60,57.10,56.35
2019-04-15,2905.58,2865,2019-04-30,51.40,52.90,52.15
2019-04-15,2905.58,2870,2019-04-30,47.80,48.30,48.05
2019-04-15,2905.58,2875,2019-04-30,43.70,44.20,43.95
2019-04-15,2905.58,2880,2019-04-30,39.80,40.30,40.05
2019-04-15,2905.58,2885,2019-04-30,36.00,36.40,36.20
2019-04-15,2905.58,2890,2019-04-30,32.30,32.80,32.55
2019-04-15,2905.58,2895,2019-04-30,28.80,29.30,29.05
2019-04-15,2905.58,2900,2019-04-30,25.50,25.90,25.70
2019-04-15,2905.58,2905,2019-04-30,22.30,22.80,22.55
2019-04-15,2905.58,2910,2019-04-30,19.40,19.80,19.60
2019-04-15,2905.58,2915,2019-04-30,16.70,17.10,16.90
2019-04-15,2905.58,2920,2019-04-30,14.30,14.60,14.45
2019-04-15,2905.58,2925,2019-04-30,12.00,12.40,12.20
2019-04-15,2905.58,2930,2019-04-30,10.10,10.40,10.25
2019-04-15,2905.58,2935,2019-04-30,8.30,8.60,8.45
2019-04-15,2905.58,2940,2019-04-30,6.80,7.00,6.90
2019-04-15,2905.58,2945,2019-04-30,5.40,5.70,5.55
2019-04-15,2905.58,2950,2019-04-30,4.40,4.60,4.50
2019-04-15,2905.58,2955,2019-04-30,3.40,3.70,3.55
2019-04-15,2905.58,2960,2019-04-30,2.65,2.85,2.75
2019-04-15,2905.58,2965,2019-04-30,2.05,2.25,2.15
2019-04-16,2907.06,2845,2019-04-30,68.30,70.10,69.20
2019-04-16,2907.06,2850,2019-04-30,63.80,65.60,64.70
2019-04-16,2907.06,2855,2019-04-30,59.40,61.20,60.30
2019-04-16,2907.06,2860,2019-04-30,55.30,56.90,56.10
2019-04-16,2907.06,2865,2019-04-30,50.90,52.50,51.70
2019-04-16,2907.06,2870,2019-04-30,47.30,47.80,47.55
2019-04-16,2907.06,2875,2019-04-30,43.20,43.70,43.45
2019-04-16,2907.06,2880,2019-04-30,39.20,39.70,39.45
2019-04-16,2907.06,2885,2019-04-30,35.40,35.90,35.65
2019-04-16,2907.06,2890,2019-04-30,31.70,32.20,31.95
2019-04-16,2907.06,2895,2019-04-30,28.10,28.60,28.35
2019-04-16,2907.06,2900,2019-04-30,24.80,25.30,25.05
2019-04-16,2907.06,2905,2019-04-30,21.70,22.10,21.90
2019-04-16,2907.06,2910,2019-04-30,18.80,19.20,19.00
2019-04-16,2907.06,2915,2019-04-30,16.10,16.50,16.30
